YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2011,13,62000,25999,truecar.com
2009,15,21998,21998,truecar.com
2013,11,44820,69888,craiglist.com
2012,12,46700,38999,cars.com
2015,14,46500,34000,autolist.com
2008,16,94000,26995,carfax.com
2010,14,86000,25707,cars.com
2001,23,154000,27500,sfcraiglist.com
2018,6,38000,59998,autolist.com
2017,7,53999,20000,autotrader.com
2021,3,30000,69150,carfax.com
2016,8,37700,60675,carfax.com
2022,2,82502,13220,carfax.com
2004,20,70493,19500,carfax.com
2023,1,7193,87999,carfax.com
