Timestamp,Gender,How old are you ?,Do you take night time showers or day time showers ?,On average how many minutes did you spend in the shower ?
4/5/2024 10:35:09,,20,Day Time showers,15
4/5/2024 10:35:12,,21,Day Time showers,25
4/5/2024 10:37:49,,19,Night Time showers,15
4/5/2024 10:39:38,,20,Day Time showers,25
4/5/2024 10:52:45,,19,Night Time showers,15
4/5/2024 10:54:00,,19,Day Time showers,12
4/5/2024 11:12:28,Female,19,Night Time showers,20
4/5/2024 11:12:49,Female,19,Day Time showers,20
4/5/2024 11:32:21,Male,20,Day Time showers,17
4/5/2024 11:34:32,Female,20,Day Time showers,25
4/5/2024 14:15:32,Male,19,Day Time showers,10
4/5/2024 14:45:54,Female,22,Day Time showers,30
4/5/2024 16:25:35,Male,20,Night Time showers,10
4/5/2024 16:42:51,Male,19,Night Time showers,25
4/5/2024 17:34:42,Male,19,Night Time showers,20
4/5/2024 19:07:37,Male,20,Night Time showers,10
4/5/2024 19:24:01,Female,18,Night Time showers,60
4/5/2024 19:31:39,Female,19,Night Time showers,20
4/5/2024 19:49:39,Female,18,Day Time showers,15
4/5/2024 19:56:32,Male,18,Night Time showers,20
4/5/2024 21:07:41,Male,21,Day Time showers,15
4/8/2024 9:31:18,Female,28,Night Time showers,30
4/8/2024 9:33:16,Male,21,Night Time showers,15
4/8/2024 9:33:55,Female,18,Night Time showers,30
4/8/2024 9:34:08,Female,18,Day Time showers,60
4/8/2024 9:35:17,Female,18,Night Time showers,15
